Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
caravan,CARAVAN,"<p><strong>CARAVAN (formerly Honey Oudh)</strong></p>
<h3>Evocation</h3>
<p>The Silk Road was never one road. It was ten thousand paths converging at caravanserais—walled courtyards where merchants rested and sealed their most precious cargo.</p>
<p>CARAVAN captures that in-between state: the scent of goods improving in transit. Honey leaking onto oud, amber warming against skin across a thousand miles. Patience made aromatic.</p>
<p>This is sweetness earned through labor. Golden and resinous, it carries every mile of the ancient road. Unhurried. Substantial. Comfort from taking the long way.</p>
<h3>On Skin</h3>
<p>Golden honey meets precious agarwood in an opening that feels ancient and inevitable. Cinnamon warms while amber provides the golden glow. Vanilla wraps everything in comfort.</p>
<p>Warm without being cloying, rich without being heavy. The kind of scent that makes strangers lean closer. Designed to be discovered, not announced.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,12ml,EMBER-CARAVAN-12ML,,shopify,1,deny,manual,48,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/653d420ae92b21ca781aaedbf690b3f31d01026f-1200x1200.jpg,2,CARAVAN,FALSE,CARAVAN,CARAVAN (formerly Honey Oudh) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
mukhallat,MUKHALLAT,<p><strong>MUKHALLAT</strong></p>,Tarife Attär,Relic Collection,Relic,TRUE,,Default Title,RELIC-MUKHALLAT,,shopify,1,deny,manual,,,TRUE,TRUE,,,1,MUKHALLAT,FALSE,MUKHALLAT,MUKHALLAT - Relic Collection,,,,,,,,,,,,,,,g,,,active
onyx,ONYX,"<p><strong>ONYX (formerly Black Ambergris)</strong></p>
<h3>Evocation</h3>
<p>Cape Agulhas is where two worlds collide. The true southern tip of Africa—where the warm Indian Ocean meets the cold Atlantic in a permanent churning of currents.</p>
<p>ONYX captures that collision: a very dark, almost tar-like tobacco, grounded and earthy, sophisticated in its darkness. Dark tobacco meets tar accord, earthy notes and ambrette.</p>
<p>The meeting of oceans creates something neither could make alone. ONYX works the same way: warm and cold existing in the same breath.</p>
<h3>On Skin</h3>
<p>Dark tobacco opens with almost tar-like depth—grounded, earthy, unapologetic. Earthy notes build while ambrette adds seed-like warmth.</p>
<p>ONYX does not offer comfort—it offers truth. The meeting of currents, the sense of standing where worlds end and begin.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",FALSE,Size,6ml,TERRA-ONYX-6ML,,shopify,0,deny,manual,33,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Aseel_63faae9b-fa48-4fa4-a978-40e4dc0ae89c.jpg?v=1758673131,1,ONYX,FALSE,ONYX,ONYX (formerly Black Ambergris) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
onyx,ONYX,"<p><strong>ONYX (formerly Black Ambergris)</strong></p>
<h3>Evocation</h3>
<p>Cape Agulhas is where two worlds collide. The true southern tip of Africa—where the warm Indian Ocean meets the cold Atlantic in a permanent churning of currents.</p>
<p>ONYX captures that collision: a very dark, almost tar-like tobacco, grounded and earthy, sophisticated in its darkness. Dark tobacco meets tar accord, earthy notes and ambrette.</p>
<p>The meeting of oceans creates something neither could make alone. ONYX works the same way: warm and cold existing in the same breath.</p>
<h3>On Skin</h3>
<p>Dark tobacco opens with almost tar-like depth—grounded, earthy, unapologetic. Earthy notes build while ambrette adds seed-like warmth.</p>
<p>ONYX does not offer comfort—it offers truth. The meeting of currents, the sense of standing where worlds end and begin.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",FALSE,Size,12ml,TERRA-ONYX-12ML,,shopify,0,deny,manual,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Aseel_63faae9b-fa48-4fa4-a978-40e4dc0ae89c.jpg?v=1758673131,2,ONYX,FALSE,ONYX,ONYX (formerly Black Ambergris) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
cherish,CHERISH,"<p><strong>CHERISH (formerly Peach Memoir)</strong></p>
<h3>Evocation</h3>
<p>The hills of Umbria roll green and gold through central Italy, softer than Tuscany, less discovered, holding their secrets closer. In summer, the orchards release a particular sweetness.</p>
<p>CHERISH captures that ephemeral sweetness. This is not the syrupy peach of candies, but the real fruit—slightly fuzzy, slightly tart, entirely sophisticated.</p>
<p>There is something nostalgic here—kid gloves and linen closets, letters tied with ribbon, the sense of being cared for by someone who knew exactly what mattered.</p>
<h3>On Skin</h3>
<p>Peach and apple blossom open with sophisticated fruitiness—nothing cloying, everything real. Pineapple blossom adds an unexpected tropical whisper. Wild rose, clean musk, and patchouli at the base.</p>
<p>A very beautiful, sophisticated peach scent. Slightly musky, slightly powdery. The quiet opulence of materials that reveal themselves only to those paying attention.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,6ml,PETAL-CHERISH-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/53061b86c78464ae8f4486732ab374e3f5a255ef-1200x1200.jpg,1,CHERISH,FALSE,CHERISH,CHERISH (formerly Peach Memoir) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
cherish,CHERISH,"<p><strong>CHERISH (formerly Peach Memoir)</strong></p>
<h3>Evocation</h3>
<p>The hills of Umbria roll green and gold through central Italy, softer than Tuscany, less discovered, holding their secrets closer. In summer, the orchards release a particular sweetness.</p>
<p>CHERISH captures that ephemeral sweetness. This is not the syrupy peach of candies, but the real fruit—slightly fuzzy, slightly tart, entirely sophisticated.</p>
<p>There is something nostalgic here—kid gloves and linen closets, letters tied with ribbon, the sense of being cared for by someone who knew exactly what mattered.</p>
<h3>On Skin</h3>
<p>Peach and apple blossom open with sophisticated fruitiness—nothing cloying, everything real. Pineapple blossom adds an unexpected tropical whisper. Wild rose, clean musk, and patchouli at the base.</p>
<p>A very beautiful, sophisticated peach scent. Slightly musky, slightly powdery. The quiet opulence of materials that reveal themselves only to those paying attention.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,12ml,PETAL-CHERISH-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/53061b86c78464ae8f4486732ab374e3f5a255ef-1200x1200.jpg,2,CHERISH,FALSE,CHERISH,CHERISH (formerly Peach Memoir) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
regalia,REGALIA,"<p><strong>REGALIA (formerly Oud Aura)</strong></p>
<h3>Evocation</h3>
<p>The forests of Borneo are among the oldest on earth—130 million years of unbroken evolution, creating trees that dwarf cathedrals. Here the Aquilaria trees grow and produce oud.</p>
<p>REGALIA captures oud at its most refined—a very rich Hindi oud. Not the barnyard funk of young wood, but the clean, animalic elegance that develops with time. Leather and smoky notes.</p>
<p>There is a reason oud has been called the wood of the gods. Something about its density, its willingness to transform trauma into beauty, speaks to human aspiration.</p>
<h3>On Skin</h3>
<p>Hindi oud opens with its full character—animalic, smoky, commanding. Leather joins immediately. Musky depth and hints of vanilla soften without sweetening.</p>
<p>REGALIA does not apologize for its presence. This is fragrance as gravity: grounding, substantial, deserving of space.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",FALSE,Size,6ml,TERRA-REGALIA-6ML,,shopify,0,deny,manual,33,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Oudh_Tobacco.jpg?v=1758669763,1,REGALIA,FALSE,REGALIA,REGALIA (formerly Oud Aura) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
regalia,REGALIA,"<p><strong>REGALIA (formerly Oud Aura)</strong></p>
<h3>Evocation</h3>
<p>The forests of Borneo are among the oldest on earth—130 million years of unbroken evolution, creating trees that dwarf cathedrals. Here the Aquilaria trees grow and produce oud.</p>
<p>REGALIA captures oud at its most refined—a very rich Hindi oud. Not the barnyard funk of young wood, but the clean, animalic elegance that develops with time. Leather and smoky notes.</p>
<p>There is a reason oud has been called the wood of the gods. Something about its density, its willingness to transform trauma into beauty, speaks to human aspiration.</p>
<h3>On Skin</h3>
<p>Hindi oud opens with its full character—animalic, smoky, commanding. Leather joins immediately. Musky depth and hints of vanilla soften without sweetening.</p>
<p>REGALIA does not apologize for its presence. This is fragrance as gravity: grounding, substantial, deserving of space.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",FALSE,Size,12ml,TERRA-REGALIA-12ML,,shopify,0,deny,manual,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Oudh_Tobacco.jpg?v=1758669763,2,REGALIA,FALSE,REGALIA,REGALIA (formerly Oud Aura) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
aden,ADEN,"<p><strong>ADEN (formerly Oud Fire)</strong></p>
<h3>Evocation</h3>
<p>Some cities exist as much in memory as in stone. Aden rises from volcanic rock at the throat of the Red Sea—a port that once moved more frankincense than any place on earth.</p>
<p>This fragrance captures that threshold feeling: the moment a ship enters harbor after months at sea. Scorched sweetness. Resinous warmth. The sense that fire transforms rather than destroys.</p>
<p>ADEN is an atmosphere, not a postcard. The oud at its center burns with volcanic energy, unapologetic and alive. But beneath the blaze lives something tender—honeyed, almost gentle.</p>
<h3>On Skin</h3>
<p>Bergamot opens bright against geranium, while pink pepper adds spark. The heart unfolds into ambergris and patchouli, with violet tempering the warmth. The base grounds everything in clean musk, precious agarwood, and vanilla.</p>
<p>This is oud rendered approachable—the initial brightness giving way to something unexpectedly tender. A warmth that clings to skin like whispered secrets.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",FALSE,Size,6ml,EMBER-ADEN-6ML,,shopify,0,deny,manual,28,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Aseel_63faae9b-fa48-4fa4-a978-40e4dc0ae89c.jpg?v=1758673131,1,ADEN,FALSE,ADEN,ADEN (formerly Oud Fire) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
aden,ADEN,"<p><strong>ADEN (formerly Oud Fire)</strong></p>
<h3>Evocation</h3>
<p>Some cities exist as much in memory as in stone. Aden rises from volcanic rock at the throat of the Red Sea—a port that once moved more frankincense than any place on earth.</p>
<p>This fragrance captures that threshold feeling: the moment a ship enters harbor after months at sea. Scorched sweetness. Resinous warmth. The sense that fire transforms rather than destroys.</p>
<p>ADEN is an atmosphere, not a postcard. The oud at its center burns with volcanic energy, unapologetic and alive. But beneath the blaze lives something tender—honeyed, almost gentle.</p>
<h3>On Skin</h3>
<p>Bergamot opens bright against geranium, while pink pepper adds spark. The heart unfolds into ambergris and patchouli, with violet tempering the warmth. The base grounds everything in clean musk, precious agarwood, and vanilla.</p>
<p>This is oud rendered approachable—the initial brightness giving way to something unexpectedly tender. A warmth that clings to skin like whispered secrets.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",FALSE,Size,12ml,EMBER-ADEN-12ML,,shopify,0,deny,manual,48,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Aseel_63faae9b-fa48-4fa4-a978-40e4dc0ae89c.jpg?v=1758673131,2,ADEN,FALSE,ADEN,ADEN (formerly Oud Fire) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
sicily,SICILY,"<p><strong>SICILY (formerly Sicilian Oudh)</strong></p>
<h3>Evocation</h3>
<p>Mount Etna has been erupting for 500,000 years. The Sicilians who farm its slopes know the volcano as they know a difficult parent: unpredictable, sometimes destructive, but ultimately the source of life.</p>
<p>SICILY captures that productive danger: Sicilian bergamot opens bright against pink pepper. Davana adds fruity depth while agarwood provides the volcanic heart.</p>
<p>Living near volcanoes teaches a particular philosophy: enjoy what you have while you have it, because the earth makes no promises.</p>
<h3>On Skin</h3>
<p>Sicilian bergamot opens with Mediterranean brightness, joined by pink pepper and davana. Agarwood provides the volcanic heart while white amber glows. Haitian vetiver smokes through the base.</p>
<p>SICILY offers the philosophy of people who live near volcanoes: enjoy what you have while you have it. Generous, warm, and perfectly aware that nothing lasts forever.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",FALSE,Size,6ml,TERRA-SICILY-6ML,,shopify,0,deny,manual,33,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/freepik__create-a-luxury-ecommerce-studioquality-editorial-__16840.png?v=1758669389,1,SICILY,FALSE,SICILY,SICILY (formerly Sicilian Oudh) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
sicily,SICILY,"<p><strong>SICILY (formerly Sicilian Oudh)</strong></p>
<h3>Evocation</h3>
<p>Mount Etna has been erupting for 500,000 years. The Sicilians who farm its slopes know the volcano as they know a difficult parent: unpredictable, sometimes destructive, but ultimately the source of life.</p>
<p>SICILY captures that productive danger: Sicilian bergamot opens bright against pink pepper. Davana adds fruity depth while agarwood provides the volcanic heart.</p>
<p>Living near volcanoes teaches a particular philosophy: enjoy what you have while you have it, because the earth makes no promises.</p>
<h3>On Skin</h3>
<p>Sicilian bergamot opens with Mediterranean brightness, joined by pink pepper and davana. Agarwood provides the volcanic heart while white amber glows. Haitian vetiver smokes through the base.</p>
<p>SICILY offers the philosophy of people who live near volcanoes: enjoy what you have while you have it. Generous, warm, and perfectly aware that nothing lasts forever.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",FALSE,Size,12ml,TERRA-SICILY-12ML,,shopify,0,deny,manual,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/freepik__create-a-luxury-ecommerce-studioquality-editorial-__16840.png?v=1758669389,2,SICILY,FALSE,SICILY,SICILY (formerly Sicilian Oudh) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
tahara,TAHARA,"<p><strong>TAHARA (formerly Musk Tahara)</strong></p>
<h3>Evocation</h3>
<p>In Arabic, tahara means purity—specifically, the ritual cleanliness required before prayer. A state of being more than a physical condition: clear-minded, clear-hearted, ready to approach the sacred.</p>
<p>TAHARA captures that quality of readiness. This is musk stripped of all animal associations, all heaviness, all complexity. What remains is something like clean cotton, like a room aired after prayer.</p>
<p>There is a specific kind of peace in simplicity. Not emptiness—fullness that has been organized, clarified, made spacious. TAHARA offers that gift.</p>
<h3>On Skin</h3>
<p>Powdery white musk opens with immediate softness—clean, pillowy, almost abstract. Light florals emerge gently: lily, violet, rose, never demanding attention.</p>
<p>TAHARA does not fill space—it clears it. A scent that creates room rather than taking it up, that offers the specific peace of simplicity.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",FALSE,Size,6ml,PETAL-TAHARA-6ML,,shopify,0,deny,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/White_Musk_71652ee9-dbf1-4ebc-ad66-1e6c5bd37b57.jpg?v=1758667081,1,TAHARA,FALSE,TAHARA,TAHARA (formerly Musk Tahara) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
tahara,TAHARA,"<p><strong>TAHARA (formerly Musk Tahara)</strong></p>
<h3>Evocation</h3>
<p>In Arabic, tahara means purity—specifically, the ritual cleanliness required before prayer. A state of being more than a physical condition: clear-minded, clear-hearted, ready to approach the sacred.</p>
<p>TAHARA captures that quality of readiness. This is musk stripped of all animal associations, all heaviness, all complexity. What remains is something like clean cotton, like a room aired after prayer.</p>
<p>There is a specific kind of peace in simplicity. Not emptiness—fullness that has been organized, clarified, made spacious. TAHARA offers that gift.</p>
<h3>On Skin</h3>
<p>Powdery white musk opens with immediate softness—clean, pillowy, almost abstract. Light florals emerge gently: lily, violet, rose, never demanding attention.</p>
<p>TAHARA does not fill space—it clears it. A scent that creates room rather than taking it up, that offers the specific peace of simplicity.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",FALSE,Size,12ml,PETAL-TAHARA-12ML,,shopify,0,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/White_Musk_71652ee9-dbf1-4ebc-ad66-1e6c5bd37b57.jpg?v=1758667081,2,TAHARA,FALSE,TAHARA,TAHARA (formerly Musk Tahara) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
oman,OMAN,"<p><strong>OMAN (formerly Teeb Musk)</strong></p>
<h3>Evocation</h3>
<p>Oman carries a quiet dignity that sets it apart from its Gulf neighbors. Where others built spectacle, Oman built substance—understated luxury, hospitality so refined it feels effortless.</p>
<p>OMAN captures that philosophy of restraint. This is musk as the Omanis understand it: not a statement but a whisper, not a projection but a presence. Clean mountain air from the Hajar range.</p>
<p>The Omani believe that a guest should smell you only when close enough to embrace. OMAN honors that intimacy—a skin scent in the truest sense.</p>
<h3>On Skin</h3>
<p>Eucalyptus opens with clean brightness—not medicinal but fresh, like mountain air. Green tea and mint add coolness while fresh clean accords define the heart.</p>
<p>Oman carries a quiet dignity—understated luxury without spectacle. A scent that clears the air rather than filling it, creating space rather than taking it up.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,6ml,EMBER-CLOSE-6ML,,shopify,1,deny,manual,28,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,1,OMAN,FALSE,OMAN,OMAN (formerly Teeb Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
oman,OMAN,"<p><strong>OMAN (formerly Teeb Musk)</strong></p>
<h3>Evocation</h3>
<p>Oman carries a quiet dignity that sets it apart from its Gulf neighbors. Where others built spectacle, Oman built substance—understated luxury, hospitality so refined it feels effortless.</p>
<p>OMAN captures that philosophy of restraint. This is musk as the Omanis understand it: not a statement but a whisper, not a projection but a presence. Clean mountain air from the Hajar range.</p>
<p>The Omani believe that a guest should smell you only when close enough to embrace. OMAN honors that intimacy—a skin scent in the truest sense.</p>
<h3>On Skin</h3>
<p>Eucalyptus opens with clean brightness—not medicinal but fresh, like mountain air. Green tea and mint add coolness while fresh clean accords define the heart.</p>
<p>Oman carries a quiet dignity—understated luxury without spectacle. A scent that clears the air rather than filling it, creating space rather than taking it up.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,12ml,EMBER-CLOSE-12ML,,shopify,1,deny,manual,48,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,2,OMAN,FALSE,OMAN,OMAN (formerly Teeb Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
damascus,DAMASCUS,"<p><strong>DAMASCUS (formerly Turkish Rose)</strong></p>
<h3>Evocation</h3>
<p>Every May, the rose fields of Isparta bloom in waves of pink. But the roses must be harvested before dawn—once the sun touches them, their precious oils begin to evaporate.</p>
<p>DAMASCUS captures the rose at that hour: cool and dewy, not yet warmed by sun. This is not the jammy, overripe rose. It is cleaner, greener, with a sharpness that speaks of morning frost.</p>
<p>The Damask rose has been cultivated for its oil for over a thousand years. DAMASCUS carries that lineage lightly—not as burden, but as blessing.</p>
<h3>On Skin</h3>
<p>Rose otto and Bulgarian rose open with the freshness of dawn-picked petals—cool, dewy, still holding the chill of mountain night. Woody notes provide structure while fresh accords keep everything bright.</p>
<p>There is a specific kind of freshness here that is hard to find in rose fragrances. It is the green stem as much as the pink petal, the dew as much as the bloom.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,6ml,PETAL-DAMASCUS-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,1,DAMASCUS,FALSE,DAMASCUS,DAMASCUS (formerly Turkish Rose) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
damascus,DAMASCUS,"<p><strong>DAMASCUS (formerly Turkish Rose)</strong></p>
<h3>Evocation</h3>
<p>Every May, the rose fields of Isparta bloom in waves of pink. But the roses must be harvested before dawn—once the sun touches them, their precious oils begin to evaporate.</p>
<p>DAMASCUS captures the rose at that hour: cool and dewy, not yet warmed by sun. This is not the jammy, overripe rose. It is cleaner, greener, with a sharpness that speaks of morning frost.</p>
<p>The Damask rose has been cultivated for its oil for over a thousand years. DAMASCUS carries that lineage lightly—not as burden, but as blessing.</p>
<h3>On Skin</h3>
<p>Rose otto and Bulgarian rose open with the freshness of dawn-picked petals—cool, dewy, still holding the chill of mountain night. Woody notes provide structure while fresh accords keep everything bright.</p>
<p>There is a specific kind of freshness here that is hard to find in rose fragrances. It is the green stem as much as the pink petal, the dew as much as the bloom.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,12ml,PETAL-DAMASCUS-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,2,DAMASCUS,FALSE,DAMASCUS,DAMASCUS (formerly Turkish Rose) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
dune,DUNE,"<p><strong>DUNE (formerly Vanilla Sands)</strong></p>
<h3>Evocation</h3>
<p>At the edge of the Empty Quarter, the dunes reach heights that defy belief. Orange and rose-gold, they shift with the wind, creating a landscape never the same twice. The desert as meditation.</p>
<p>DUNE captures not the harshness of sand but its strange softness—the way it absorbs light and sound. At its heart is vanilla: sophisticated, slightly woody, never cloying.</p>
<p>There is something clarifying about vast emptiness. DUNE offers that same gift: a scent that strips away noise and leaves only the essential.</p>
<h3>On Skin</h3>
<p>Sweet caramel vanilla opens with immediate warmth—sophisticated, not saccharine. Slight woody accords keep the sweetness grounded. The base settles into mild amber and clean musk.</p>
<p>Very beautiful, classic, and long-lasting. A scent that strips away noise and leaves only the essential. Creamy wood, warm skin, the faintest memory of wind.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",FALSE,Size,6ml,EMBER-DUNE-6ML,,shopify,0,deny,manual,28,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/1a5424b14b8ae92cd1b69e2dbe4c59abe19a6251-1200x1200.jpg,1,DUNE,FALSE,DUNE,DUNE (formerly Vanilla Sands) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
dune,DUNE,"<p><strong>DUNE (formerly Vanilla Sands)</strong></p>
<h3>Evocation</h3>
<p>At the edge of the Empty Quarter, the dunes reach heights that defy belief. Orange and rose-gold, they shift with the wind, creating a landscape never the same twice. The desert as meditation.</p>
<p>DUNE captures not the harshness of sand but its strange softness—the way it absorbs light and sound. At its heart is vanilla: sophisticated, slightly woody, never cloying.</p>
<p>There is something clarifying about vast emptiness. DUNE offers that same gift: a scent that strips away noise and leaves only the essential.</p>
<h3>On Skin</h3>
<p>Sweet caramel vanilla opens with immediate warmth—sophisticated, not saccharine. Slight woody accords keep the sweetness grounded. The base settles into mild amber and clean musk.</p>
<p>Very beautiful, classic, and long-lasting. A scent that strips away noise and leaves only the essential. Creamy wood, warm skin, the faintest memory of wind.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",FALSE,Size,12ml,EMBER-DUNE-12ML,,shopify,0,deny,manual,48,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/1a5424b14b8ae92cd1b69e2dbe4c59abe19a6251-1200x1200.jpg,2,DUNE,FALSE,DUNE,DUNE (formerly Vanilla Sands) - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
ritual,RITUAL,"<p><strong>RITUAL (formerly White Egyptian Musk)</strong></p>
<h3>Evocation</h3>
<p>On the banks of the Nile, where the Valley of the Kings holds its ancient dead and the Temple of Karnak still stands after four thousand years, the rituals of adornment have never really stopped.</p>
<p>RITUAL captures that daily devotion. This is white musk at its most elegant—clean and subtle. ISO E Super provides that woody, almost-not-there presence. Ambroxan adds its particular magic.</p>
<p>A very beautiful skin scent that can be worn all day, every day. Not the musk of seduction or statement, but the musk of self-possession.</p>
<h3>On Skin</h3>
<p>ISO E Super opens with characteristic woody transparency—there and not there, felt more than smelled. Light musk provides the softest foundation while Ambroxan adds unique radiance.</p>
<p>A very beautiful skin scent that can be worn all day, every day. Clean and subtle, embodying the quiet elegance of ritual—the daily practice of adorning oneself with intention.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,6ml,PETAL-RITUAL-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,1,RITUAL,FALSE,RITUAL,RITUAL (formerly White Egyptian Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
ritual,RITUAL,"<p><strong>RITUAL (formerly White Egyptian Musk)</strong></p>
<h3>Evocation</h3>
<p>On the banks of the Nile, where the Valley of the Kings holds its ancient dead and the Temple of Karnak still stands after four thousand years, the rituals of adornment have never really stopped.</p>
<p>RITUAL captures that daily devotion. This is white musk at its most elegant—clean and subtle. ISO E Super provides that woody, almost-not-there presence. Ambroxan adds its particular magic.</p>
<p>A very beautiful skin scent that can be worn all day, every day. Not the musk of seduction or statement, but the musk of self-possession.</p>
<h3>On Skin</h3>
<p>ISO E Super opens with characteristic woody transparency—there and not there, felt more than smelled. Light musk provides the softest foundation while Ambroxan adds unique radiance.</p>
<p>A very beautiful skin scent that can be worn all day, every day. Clean and subtle, embodying the quiet elegance of ritual—the daily practice of adorning oneself with intention.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,12ml,PETAL-RITUAL-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,2,RITUAL,FALSE,RITUAL,RITUAL (formerly White Egyptian Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
